split,model,threshold,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix.tn,confusion_matrix.fp,confusion_matrix.fn,confusion_matrix.tp
validation,logistic_regression_balanced,0.7278096408813799,0.8571428571428571,0.18,0.54,0.27,0.8267489711934157,849,123,23,27
test,logistic_regression_balanced,0.7278096408813799,0.8669275929549902,0.2054794520547945,0.6,0.30612244897959184,0.8408847736625514,856,116,20,30
